Ano,ExpVida
1960,54.2130243902
1961,54.7267560976
1962,55.2447073171
1963,55.7609268293
1964,56.2715121951
1965,56.7754390244
1966,57.2732682927
1967,57.7645121951
1968,58.2462439024
1969,58.7135609756
1970,59.1555853659
1971,59.5624634146
1972,59.9292439024
1973,60.2554390244
1974,60.5445121951
1975,60.8029268293
1976,61.0410731707
1977,61.2717804878
1978,61.5069512195
1979,61.7549756098
1980,62.0202926829
1981,62.3038780488
1982,62.6022439024
1983,62.9114634146
1984,63.2320731707
1985,63.5625609756
1986,63.9004634146
1987,64.2458292683
1988,64.5982195122
1989,64.961195122
1990,65.3403170732
1991,65.7426829268
1992,66.171804878
1993,66.6276829268
1994,67.1068292683
1995,67.6016829268
1996,68.1047317073
1997,68.6058536585
1998,69.0950487805
1999,69.5672195122
2000,70.0163902439
2001,70.4425609756
2002,70.8492195122
2003,71.2404390244
2004,71.618195122
2005,71.986
2006,72.3493414634
2007,72.7097317073
2008,73.0686585366
2009,73.423097561
2010,73.7695609756
2011,74.1005121951
2012,74.4104390244
2013,74.6963414634
2014,74.9582439024
2015,75.1991219512
2016,75.2
2017,75.5
2018,75.7
